key,OUTLET_LATITUDE,OUTLET_LONGITUDE
722,10.7844023,106.6993834
2087,10.7673837,106.6977785
2247,10.7779188,106.6984714
3178,10.7667,106.689
5915,10.7623364,106.6874432
6202,10.7704697,106.7034934
7291,10.7649735,106.6973855
7670,10.7645425,106.6944985
8151,10.7550855,106.6860467
8214,10.7667838,106.6903473
9141,10.7579852,106.6895291
11137,10.7643996,106.6890352
11451,10.7913183,106.6897091
12312,10.7654629,106.6984487
13253,10.7642504,106.6975308
14356,10.7715933,106.703182
14909,10.7628765,106.6874421
15165,10.7649101,106.6974001
15211,10.7673951,106.6977588
15368,10.7648355,106.6954036
15572,10.7650864,106.6983696
18342,10.7939,106.691
18473,10.7818786,106.701431
19428,10.7894639,106.6899654
22074,10.7630871,106.692473
22808,10.765,106.698
24448,10.7899,106.694
26234,10.7835862,106.7025557
30026,10.7668,106.689
32106,10.7728787,106.7026002
32413,10.7924402,106.6960541
33085,10.7679141,106.6854167
33721,10.7711667,106.6935256
33915,10.7641843,106.6953718
34326,10.7664348,106.6871659
34490,10.7701253,106.7006815
34841,10.7919326,106.6920741
35001,10.7667878,106.6889294
35869,10.7700095,106.6913892
38790,10.7896102,106.6900938
38836,10.789701,106.690224
39744,10.793074,106.6873193
41409,10.7607535,106.691469
41882,10.7856354,106.7006218
42392,10.7894382,106.6901625
43211,10.7942375,106.6902925
44643,10.7922074,106.6964766
45863,10.7669919,106.6876695
46015,10.7706,106.691
47779,10.7765305,106.6979411
49890,10.7823828,106.7038813
49940,10.7647,106.697
50017,10.7704697,106.7034934
51164,10.7716158,106.7031589
51379,10.7922478,106.6966009
53644,10.7666,106.689
54550,10.7579852,106.6895291
55595,10.7629967,106.6908225
59510,10.7731213,106.6984412
59984,10.7894382,106.6901625
60069,10.7666159,106.6860731
62190,10.7647,106.697
65664,10.7647,106.697
66104,10.7668675,106.6889659
66219,10.7654629,106.6984487
66711,10.7905,106.69
70620,10.7918005,106.6998703
70718,10.7629301,106.6877684
72139,10.7922942,106.6965723
72540,10.765,106.698
74770,10.7643554,106.6861829
74951,10.7662651,106.6908818
76162,10.764711,106.697554
77613,10.76351,106.6889901
77897,10.7879364,106.7022388
81214,10.77,106.7
81218,10.7897753,106.6901557
82446,10.7669919,106.6876695
83609,10.7626379,106.6877352
83725,10.7931082,106.6872691
85108,10.7784081,106.7026197
85888,10.764711,106.697554
85956,10.7939613,106.6907516
86740,10.7599648,106.69445
87170,10.7626788,106.6875741
88821,10.7635354,106.6892241
89388,10.7799333,106.701336
90108,10.7922942,106.6965723
91137,10.7573892,106.6887184
93888,10.7923859,106.6965318
94156,10.7560971,106.6854424
94420,10.7649535,106.6952178
95027,10.7898098,106.6901491
95126,10.7632272,106.6958503
96104,10.7921692,106.69649
98757,10.7647,106.697
99409,10.7672779,106.6928403
99914,10.7812921,106.6998783
100960,10.7629301,106.6877684
104476,10.7643996,106.6890352
104585,10.797093,106.7233486
107600,10.765017,106.6891534
109645,10.7661776,106.6894136
111167,10.7629301,106.6877684
118733,10.770539,106.6909213
118836,10.7651159,106.6983492
118882,10.7671854,106.692834
120182,10.7894382,106.6901625
120845,10.7670799,106.6907936
121030,10.7669636,106.6891112
123114,10.7670379,106.6891558
124777,10.7894382,106.6901625
125185,10.7654629,106.6984487
126828,10.7669498,106.6890021
129052,10.7897751,106.6900677
130590,10.7668347,106.6873062
131686,10.7632272,106.6958503
133093,10.7650948,106.6857924
134195,10.7647,106.697
134676,10.7656013,106.6983218
138275,10.7664166,106.6944376
140397,10.7667838,106.6903473
140715,10.7826702,106.703942
142889,10.7643588,106.6889308
143602,10.7667838,106.6903473
144621,10.7923782,106.696528
146652,10.7577809,106.6893085
147835,10.7924,106.697
148083,10.7666,106.689
149602,10.789349,106.6895623
150658,10.7728153,106.7025765
152025,10.7931887,106.6935788
152707,10.7607535,106.691469
153259,10.7626788,106.6875741
153359,10.7924402,106.6960541
153933,10.7632245,106.6887357
155896,10.7647,106.697
156526,10.7922942,106.6965723
158406,10.7840332,106.7003863
159007,10.7918179,106.6999283
159635,10.7663756,106.6944748
160448,10.7728,106.698
162911,10.7635977,106.6915892
165588,10.8380189,106.6824856
165665,10.7897753,106.6901557
166884,10.7661335,106.6935016
167701,10.7650864,106.6983696
170240,10.792481,106.6964428
170466,10.7698,106.7
171431,10.7654629,106.6984487
173613,10.7647,106.697
173871,10.7924,106.697
175004,10.765,106.698
175198,10.7673855,106.6977578
175432,10.7670379,106.6891558
176046,10.7663756,106.6944748
177679,10.7913183,106.6897091
178091,10.7714513,106.7033885
179951,10.8380369,106.6825352
180186,10.7930483,106.6872341
180217,10.7643554,106.6861829
180226,10.7671115,106.6945982
181463,10.7667442,106.6872767
181663,10.7647,106.697
182009,10.7728897,106.697988
182100,10.7643588,106.6889308
183562,10.789701,106.690224
184747,10.7901133,106.6919949
186080,10.7654629,106.6984487
186782,10.7894382,106.6901625
187599,10.792481,106.6964428
187950,10.7623364,106.6874432
190724,10.7895143,106.6900954
191690,10.7812921,106.6998783
192299,10.7629301,106.6877684
193281,10.7707779,106.6934328
195916,10.7824288,106.7041266
196454,10.7666931,106.6872609
197723,10.7924558,106.6964181
197862,10.7632272,106.6958503
198617,10.7667845,106.6890445
200903,10.7626788,106.6875741
201038,10.7667878,106.6889294
201376,10.7975162,106.7234072
202962,10.7921692,106.69649
203440,10.7644991,106.687388
204816,10.7599648,106.69445
211186,10.7897753,106.6901557
211368,10.7649535,106.6952178
211482,10.7667838,106.6903473
213460,10.7607535,106.691469
213921,10.7905,106.69
214460,10.7722357,106.6971571
215147,10.7711558,106.6934266
216560,10.7643019,106.6908466
216876,10.7931091,106.6872792
217079,10.7649662,106.6891004
218568,10.7818786,106.701431
218747,10.7913183,106.6897091
219992,10.7922074,106.6964766
221944,10.7667,106.689
222906,10.7922074,106.6964766
223326,10.7654629,106.6984487
226666,10.7709387,106.70312
229532,10.7661776,106.6894136
230643,10.7922942,106.6965723
231255,10.7667838,106.6903473
231619,10.7629301,106.6877684
232637,10.7719677,106.6891596
233298,10.7664991,106.6868266
236317,10.7626788,106.6875741
238435,10.7649,106.698
238493,10.7668766,106.6890382
239297,10.7616228,106.6928465
240580,10.7642061,106.6946073
242217,10.7896102,106.6900938
242959,10.7677413,106.6859565
244058,10.7632272,106.6958503
247112,10.7829436,106.7036932
247743,10.7649535,106.6952178
247764,10.7895374,106.698358
248267,10.7573351,106.6889956
